,id,title,original_language,release_date,genre_ids,popularity,vote_average,vote_count
70,887357,Green Lantern: Beware My Power,en,2022-07-12,"[16, 28, 878]",473.234,7.2,76
71,912598,Bubble,ja,2022-02-14,"[16, 12, 878]",456.18,7.5,212
72,960258,Shark Bait,en,2022-05-13,"[27, 53, 28]",448.012,6.3,108
73,628900,The Contractor,en,2022-03-10,"[28, 53]",408.224,6.5,450
74,539681,DC League of Super-Pets,en,2022-07-27,"[16, 28, 10751, 878, 35]",470.113,7.4,72
75,34851,Predators,en,2010-07-03,"[878, 28, 53]",407.766,6.2,3290
76,588228,The Tomorrow War,en,2021-07-02,"[28, 878, 12]",422.63,8.0,5688
77,869399,The Passenger,es,2022-06-03,[27],450.947,6.7,15
78,843241,The Seven Deadly Sins: Cursed by Light,ja,2021-07-02,"[16, 14]",438.136,7.9,372
79,299536,Avengers: Infinity War,en,2018-04-25,"[12, 28, 878]",422.582,8.3,25156
80,566525,Shang-Chi and the Legend of the Ten Rings,en,2021-09-01,"[28, 12, 14]",407.918,7.7,6987
81,705861,Hustle,en,2022-06-03,"[18, 35]",413.203,7.9,1354
82,615173,The Witch: Part 2. The Other One,ko,2022-06-15,"[28, 9648, 53]",376.469,7.5,40
83,765172,Rise of the Teenage Mutant Ninja Turtles: The Movie,en,2022-08-05,"[16, 28, 35, 14]",579.17,7.3,56
84,825808,See for Me,en,2022-01-07,"[53, 18, 80, 9648, 27]",411.804,6.1,95
85,440,Aliens vs Predator: Requiem,en,2007-12-25,"[14, 28, 878, 53, 27]",389.747,5.1,2259
86,774825,The Ice Age Adventures of Buck Wild,en,2022-01-28,"[16, 35, 12, 10751]",409.142,6.8,1314
87,838330,Not Okay,en,2022-07-29,"[35, 18]",374.435,6.7,174
88,459151,The Boss Baby: Family Business,en,2021-07-01,"[16, 35, 12, 10751]",405.868,7.5,2015
89,893297,American Sicario,en,2021-12-10,"[80, 28]",385.197,5.9,71
90,303857,Dragon Ball Z: Resurrection 'F',ja,2015-04-18,"[28, 16, 878]",370.844,6.8,1439
91,628878,Panama,en,2022-03-17,"[28, 53]",384.948,5.9,69
92,756681,Veneciafrenia,es,2022-04-22,[27],378.107,6.1,104
93,799876,The Outfit,en,2022-03-03,"[80, 18, 53]",379.058,7.1,352
94,689700,Clean,en,2022-01-28,"[80, 18, 53]",372.601,6.6,194
95,744275,After We Fell,en,2021-09-01,"[10749, 18]",376.138,7.1,1833
96,880313,The Wrath of God,es,2022-06-15,"[53, 18]",382.289,6.4,113
97,524434,Eternals,en,2021-11-03,"[878, 28, 12]",369.375,7.1,6065
98,975120,Father There Is Only One 3,es,2022-07-15,"[35, 10751]",345.371,6.6,15
99,875104,Ip Man: The Awakening,zh,2022-06-21,"[28, 18, 12]",444.147,7.1,49
100,778855,Chickenhare and the Hamster of Darkness,en,2022-02-16,"[12, 16, 35, 10751, 14]",365.815,7.5,164
101,945657,Titanic 666,en,2022-04-15,"[53, 27]",313.869,5.6,49
102,460458,Resident Evil: Welcome to Raccoon City,en,2021-11-24,"[27, 28, 878]",354.617,6.1,1762
103,809717,Moonbound,de,2021-06-24,"[16, 12, 10751, 14]",295.022,6.2,56
104,460465,Mortal Kombat,en,2021-04-07,"[28, 14, 12]",354.419,7.2,4798
105,760104,X,en,2022-03-17,"[27, 9648, 53]",485.579,6.7,715
106,883502,Fortress: Sniper's Eye,en,2022-04-29,[28],318.534,5.9,97
107,324786,Hacksaw Ridge,en,2016-10-07,"[18, 36, 10752]",340.663,8.2,11249
108,860623,Last Man Down,en,2021-10-19,"[28, 53]",327.948,6.2,524
109,508943,Luca,en,2021-06-17,"[16, 35, 10751, 14]",341.028,7.9,6566
110,387844,Nice Sister-In-Law,ko,2015-11-19,"[10749, 18]",473.978,5.7,11
111,763285,Ambulance,en,2022-03-16,"[28, 53, 80]",321.867,6.9,1021
112,19995,Avatar,en,2009-12-10,"[28, 12, 14, 878]",329.767,7.5,25859
113,980804,LEGO Star Wars Summer Vacation,en,2022-08-05,"[12, 10751, 14, 16, 35]",469.115,5.6,17
114,893370,Virus:32,es,2022-04-21,[27],320.122,7.2,113
115,831946,Interceptor,en,2022-05-26,"[28, 53, 12]",309.832,6.2,471
116,744276,After Ever Happy,en,2022-08-24,"[10749, 18]",349.379,0.0,0
117,803114,The Requin,en,2022-01-28,[53],348.816,4.6,161
118,337404,Cruella,en,2021-05-26,"[35, 80]",390.72,8.1,7347
119,833425,No Exit,en,2022-02-25,"[27, 53]",318.579,7.0,659
120,823625,Blacklight,en,2022-02-10,"[28, 53]",317.941,6.3,561
121,973608,Larva Pendant,ko,2022-05-25,"[35, 10751, 16]",288.42,6.9,61
122,397567,Along with the Gods: The Two Worlds,ko,2017-12-14,"[18, 14, 28]",262.594,8.1,636
123,708471,The Last Zombie,es,2021-12-02,[27],313.495,5.7,3
124,648579,The Unbearable Weight of Massive Talent,en,2022-04-20,"[28, 35, 80]",303.543,7.0,566
125,758724,The Cellar,en,2022-03-25,"[27, 9648]",434.43,6.5,117
126,726684,Miraculous World: Shanghai – The Legend of Ladydragon,fr,2021-05-15,"[16, 10751, 12, 14, 28, 10770]",291.582,7.9,465
127,518068,Along with the Gods: The Last 49 Days,ko,2018-08-01,"[18, 14, 28]",247.727,8.2,369
128,978436,Adanis: Kutsal Kavga,tr,2022-03-11,"[18, 28, 12]",418.695,5.0,4
129,809140,Father Stu,en,2022-04-13,[18],286.964,7.7,242
130,585245,Clifford the Big Red Dog,en,2021-11-10,"[10751, 12, 35, 14]",312.515,7.3,1353
131,425909,Ghostbusters: Afterlife,en,2021-11-11,"[14, 35, 12]",301.149,7.6,3048
132,800510,Kimi,en,2022-02-10,[53],288.575,6.2,477
133,20982,Naruto Shippuden the Movie,ja,2007-08-04,"[16, 28, 14]",332.284,7.2,460
134,778810,Fireheart,en,2022-01-16,"[16, 35, 10751]",323.038,7.6,146
135,420821,Chip 'n Dale: Rescue Rangers,en,2022-05-18,"[16, 10751, 35, 12, 9648]",292.526,7.1,718
